image,target_kb,target_ratio,original_kb,binary_time,binary_accuracy,binary_size,smart_time,smart_accuracy,smart_size,speedup
IMG_1281.jpeg,917.3681640625,0.5,1834.736328125,1.1979389190673828,0.02345151349020902,895.8544921875,1.9466540813446045,0.017452908019608575,933.37890625,0.6153835602059999
IMG_1281.jpeg,1284.3154296875,0.7,1834.736328125,1.2275071144104004,0.017830814841625107,1261.4150390625,1.7490730285644531,0.017830814841625107,1261.4150390625,0.7018043811571856
IMG_1281.jpeg,1651.2626953125,0.9,1834.736328125,1.1975469589233398,0.009707888080440335,1635.232421875,1.7533388137817383,0.009707888080440335,1635.232421875,0.6830094386266262
IMG_1217.jpeg,1495.0029296875,0.5,2990.0068359375,2.3996400833129883,0.03214680677752643,1446.943359375,3.934540033340454,0.03214680677752643,1446.943359375,0.6098908799958698
IMG_1217.jpeg,2093.00390625,0.7,2990.0068359375,2.3258249759674072,0.005937283621589036,2080.5771484375,3.6693480014801025,0.005937283621589036,2080.5771484375,0.6338523833196635
IMG_1217.jpeg,2691.005859375,0.9,2990.0068359375,2.016244888305664,0.0074198266070061225,2671.0390625,4.087085008621216,0.0074198266070061225,2671.0390625,0.49332100605997603
IMG_1946.jpeg,1925.857421875,0.5,3851.71484375,1.5340888500213623,0.0014619097216235868,1923.0419921875,1.9745700359344482,0.0014619097216235868,1923.0419921875,0.7769229868290632
IMG_1946.jpeg,2696.2001953125,0.7,3851.71484375,1.5235779285430908,0.014727395940974513,2656.4921875,1.9894311428070068,0.014727395940974513,2656.4921875,0.7658359697704259
IMG_1946.jpeg,3466.54296875,0.9,3851.71484375,1.5174720287322998,0.020182041501631106,3396.5810546875,2.043311834335327,0.00876205017832292,3496.9169921875,0.7426531786451094
IMG_1018.jpeg,1118.05078125,0.5,2236.1015625,1.261686086654663,0.03218492004430143,1082.06640625,1.8489720821380615,0.2501179158761936,838.40625,0.6823716262907067
IMG_1018.jpeg,1565.2705078125,0.7,2236.1015625,1.2346880435943604,0.00311011038552267,1560.40234375,1.88972806930542,0.19308825538716662,1263.03515625,0.6533681028763979
IMG_1018.jpeg,2012.4912109375,0.9,2236.1015625,1.3294291496276855,0.023927705429614164,1964.3369140625,1.9710769653320312,0.05102361180731088,1909.806640625,0.6744684114370648
IMG_7831.jpeg,1548.666015625,0.5,3097.3330078125,1.3883397579193115,0.015459373427483583,1524.724609375,1.9494719505310059,0.015459373427483583,1524.724609375,0.7121619562369951
IMG_7831.jpeg,2168.1328125,0.7,3097.3330078125,1.3873789310455322,0.0003436676864093168,2167.3876953125,2.0094242095947266,0.0003436676864093168,2167.3876953125,0.6904360584594269
IMG_7831.jpeg,2787.599609375,0.9,3097.3330078125,1.518604040145874,0.07554102256715882,2577.021484375,2.2121479511260986,0.07554102256715882,2577.021484375,0.6864839394547844
